『	記号,括弧開,*,*,*,*,『,『,『
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
洗う	動詞,自立,*,*,五段・ワ行促音便,基本形,洗う,アラウ,アラウ
と	助詞,接続助詞,*,*,*,*,と,ト,ト
近く	名詞,副詞可能,*,*,*,*,近く,チカク,チカク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
人力車	名詞,一般,*,*,*,*,人力車,ジンリキシャ,ジンリキシャ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
呼び止め	動詞,自立,*,*,一段,連用形,呼び止める,ヨビトメ,ヨビトメ
、	記号,読点,*,*,*,*,、,、,、
急い	動詞,自立,*,*,五段・ガ行,連用タ接続,急ぐ,イソイ,イソイ
で	助詞,接続助詞,*,*,*,*,で,デ,デ
撮影	名詞,サ変接続,*,*,*,*,撮影,サツエイ,サツエイ
場所	名詞,一般,*,*,*,*,場所,バショ,バショ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
向かう	動詞,自立,*,*,五段・ワ行促音便,基本形,向かう,ムカウ,ムカウ
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
告げ	動詞,自立,*,*,一段,連用形,告げる,ツゲ,ツゲ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
車	名詞,一般,*,*,*,*,車,クルマ,クルマ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
乗り込ん	動詞,自立,*,*,五段・マ行,連用タ接続,乗り込む,ノリコン,ノリコン
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ
。	記号,句点,*,*,*,*,。,。,。
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
、	記号,読点,*,*,*,*,、,、,、
髪	名詞,一般,*,*,*,*,髪,カミ,カミ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
結わ	動詞,自立,*,*,五段・ワ行促音便,未然形,結う,ユワ,ユワ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
人前	名詞,一般,*,*,*,*,人前,ヒトマエ,ヒトマエ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
出る	動詞,自立,*,*,一段,基本形,出る,デル,デル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ありえ	動詞,自立,*,*,一段,未然形,ありえる,アリエ,アリエ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
人力車	名詞,一般,*,*,*,*,人力車,ジンリキシャ,ジンリキシャ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
乗る	動詞,自立,*,*,五段・ラ行,基本形,乗る,ノル,ノル
濡髪	名詞,一般,*,*,*,*,濡髪,ヌレガミ,ヌレガミ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
美人	名詞,一般,*,*,*,*,美人,ビジン,ビジン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
街中	名詞,固有名詞,人名,姓,*,*,街中,マチナカ,マチナカ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
疾走	名詞,サ変接続,*,*,*,*,疾走,シッソウ,シッソー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
と	助詞,接続助詞,*,*,*,*,と,ト,ト
、	記号,読点,*,*,*,*,、,、,、
「	記号,括弧開,*,*,*,*,「,「,「
あの	連体詞,*,*,*,*,*,あの,アノ,アノ
濡髪	名詞,一般,*,*,*,*,濡髪,ヌレガミ,ヌレガミ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
美人	名詞,一般,*,*,*,*,美人,ビジン,ビジン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
だれ	名詞,代名詞,一般,*,*,*,だれ,ダレ,ダレ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
？	記号,一般,*,*,*,*,？,？,？
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
街	名詞,一般,*,*,*,*,街,マチ,マチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
人々	名詞,一般,*,*,*,*,人々,ヒトビト,ヒトビト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
驚き	動詞,自立,*,*,五段・カ行イ音便,連用形,驚く,オドロキ,オドロキ
、	記号,読点,*,*,*,*,、,、,、
どよめき	名詞,一般,*,*,*,*,どよめき,ドヨメキ,ドヨメキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
包ま	動詞,自立,*,*,五段・マ行,未然形,包む,ツツマ,ツツマ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
その後	名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
、	記号,読点,*,*,*,*,、,、,、
なんとか	副詞,一般,*,*,*,*,なんとか,ナントカ,ナントカ
撮影	名詞,サ変接続,*,*,*,*,撮影,サツエイ,サツエイ
場所	名詞,一般,*,*,*,*,場所,バショ,バショ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
辿り	動詞,自立,*,*,五段・ラ行,連用形,辿る,タドリ,タドリ
着	動詞,自立,*,*,一段,連用形,着る,キ,キ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
そこで	接続詞,*,*,*,*,*,そこで,ソコデ,ソコデ
身支度	名詞,サ変接続,*,*,*,*,身支度,ミジタク,ミジタク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
髪	名詞,一般,*,*,*,*,髪,カミ,カミ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
結っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,結う,ユッ,ユッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
撮影	名詞,サ変接続,*,*,*,*,撮影,サツエイ,サツエイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,行う,オコナッ,オコナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
残念	名詞,形容動詞語幹,*,*,*,*,残念,ザンネン,ザンネン
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
、	記号,読点,*,*,*,*,、,、,、
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
一	名詞,数,*,*,*,*,一,イチ,イチ
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ
「	記号,括弧開,*,*,*,*,「,「,「
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク
美人	名詞,一般,*,*,*,*,美人,ビジン,ビジン
」	記号,括弧閉,*,*,*,*,」,」,」
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
上位	名詞,一般,*,*,*,*,上位,ジョウイ,ジョーイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
入賞	名詞,サ変接続,*,*,*,*,入賞,ニュウショウ,ニューショー
でき	動詞,自立,*,*,一段,未然形,できる,デキ,デキ
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
話題性	名詞,固有名詞,一般,*,*,*,話題性,ワダイセイ,ワダイセイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
バツグン	名詞,形容動詞語幹,*,*,*,*,抜群,バツグン,バツグン
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
「	記号,括弧開,*,*,*,*,「,「,「
あの	連体詞,*,*,*,*,*,あの,アノ,アノ
濡髪	名詞,一般,*,*,*,*,濡髪,ヌレガミ,ヌレガミ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
美人	名詞,一般,*,*,*,*,美人,ビジン,ビジン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
？	記号,一般,*,*,*,*,？,？,？
」	記号,括弧閉,*,*,*,*,」,」,」
「	記号,括弧開,*,*,*,*,「,「,「
濡髪	名詞,一般,*,*,*,*,濡髪,ヌレガミ,ヌレガミ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
良い	形容詞,自立,*,*,形容詞・アウオ段,基本形,良い,ヨイ,ヨイ
」	記号,括弧閉,*,*,*,*,」,」,」
といった	助詞,格助詞,連語,*,*,*,といった,トイッタ,トイッタ
話題	名詞,一般,*,*,*,*,話題,ワダイ,ワダイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
コンテスト	名詞,一般,*,*,*,*,コンテスト,コンテスト,コンテスト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
もちきり	副詞,一般,*,*,*,*,もちきり,モチキリ,モチキリ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ
、	記号,読点,*,*,*,*,、,、,、
中	名詞,一般,*,*,*,*,中,ナカ,ナカ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
優勝	名詞,サ変接続,*,*,*,*,優勝,ユウショウ,ユーショー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
勘違い	名詞,サ変接続,*,*,*,*,勘違い,カンチガイ,カンチガイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
も	助詞,係助詞,*,*,*,*,も,モ,モ
続出	名詞,サ変接続,*,*,*,*,続出,ゾクシュツ,ゾクシュツ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
ありさ	名詞,固有名詞,一般,*,*,*,ありさ,アリサ,アリサ
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
、	記号,読点,*,*,*,*,、,、,、
翌年	名詞,副詞可能,*,*,*,*,翌年,ヨクネン,ヨクネン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
再び	副詞,助詞類接続,*,*,*,*,再び,フタタビ,フタタビ
凌雲	名詞,固有名詞,人名,名,*,*,凌雲,リョウウン,リョーウン
閣	名詞,固有名詞,組織,*,*,*,*
にて	助詞,格助詞,一般,*,*,*,にて,ニテ,ニテ
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
二回	名詞,固有名詞,一般,*,*,*,2回,ニカイ,ニカイ
「	記号,括弧開,*,*,*,*,「,「,「
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク
美人	名詞,一般,*,*,*,*,美人,ビジン,ビジン
」	記号,括弧閉,*,*,*,*,」,」,」
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
開催	名詞,サ変接続,*,*,*,*,開催,カイサイ,カイサイ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
と	助詞,接続助詞,*,*,*,*,と,ト,ト
、	記号,読点,*,*,*,*,、,、,、
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
髪	名詞,一般,*,*,*,*,髪,カミ,カミ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
結わ	動詞,自立,*,*,五段・ワ行促音便,未然形,結う,ユワ,ユワ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
濡髪	名詞,一般,*,*,*,*,濡髪,ヌレガミ,ヌレガミ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
まま	名詞,非自立,副詞可能,*,*,*,まま,ママ,ママ
写真撮影	名詞,固有名詞,一般,*,*,*,写真撮影,シャシンサツエイ,シャシンサツエイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
臨み	動詞,自立,*,*,五段・マ行,連用形,臨む,ノゾミ,ノゾミ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
写真	名詞,一般,*,*,*,*,写真,シャシン,シャシン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
エントリー	名詞,サ変接続,*,*,*,*,エントリー,エントリー,エントリー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ところ	名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ
、	記号,読点,*,*,*,*,、,、,、
結果	名詞,副詞可能,*,*,*,*,結果,ケッカ,ケッカ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なんと	副詞,一般,*,*,*,*,なんと,ナント,ナント
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
2位	名詞,固有名詞,一般,*,*,*,2位,ニイ,ニー
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
洗い髪	名詞,一般,*,*,*,*,洗い髪,アライガミ,アライガミ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
トレードマーク	名詞,一般,*,*,*,*,トレードマーク,トレードマーク,トレードマーク
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
人気	名詞,一般,*,*,*,*,人気,ニンキ,ニンキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
留まる	動詞,自立,*,*,五段・ラ行,基本形,留まる,トマル,トマル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
、	記号,読点,*,*,*,*,、,、,、
お座敷	名詞,一般,*,*,*,*,お座敷,オザシキ,オザシキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
出る	動詞,自立,*,*,一段,基本形,出る,デル,デル
際	名詞,非自立,副詞可能,*,*,*,際,サイ,サイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
洗い髪	名詞,一般,*,*,*,*,洗い髪,アライガミ,アライガミ
」	記号,括弧閉,*,*,*,*,」,」,」
の	助詞,連体化,*,*,*,*,の,ノ,ノ
状態	名詞,一般,*,*,*,*,状態,ジョウタイ,ジョータイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
まま	名詞,非自立,副詞可能,*,*,*,まま,ママ,ママ
出る	動詞,自立,*,*,一段,基本形,出る,デル,デル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
リクエスト	名詞,サ変接続,*,*,*,*,リクエスト,リクエスト,リクエスト
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
客	名詞,一般,*,*,*,*,客,キャク,キャク
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
続出	名詞,サ変接続,*,*,*,*,続出,ゾクシュツ,ゾクシュツ
。	記号,句点,*,*,*,*,。,。,。
さらに	副詞,助詞類接続,*,*,*,*,さらに,サラニ,サラニ
、	記号,読点,*,*,*,*,、,、,、
1900年	名詞,固有名詞,一般,*,*,*,1900年,センキュウヒャクネン,センキュウヒャクネン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
絵葉書	名詞,一般,*,*,*,*,絵葉書,エハガキ,エハガキ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
大人気	名詞,形容動詞語幹,*,*,*,*,大人気,ダイニンキ,ダイニンキ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ
、	記号,読点,*,*,*,*,、,、,、
世	名詞,一般,*,*,*,*,世,ヨ,ヨ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
男	名詞,一般,*,*,*,*,男,オトコ,オトコ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
競っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,競う,キソッ,キソッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
買い求め	動詞,自立,*,*,一段,連用形,買い求める,カイモトメ,カイモトメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
さらに	副詞,助詞類接続,*,*,*,*,さらに,サラニ,サラニ
、	記号,読点,*,*,*,*,、,、,、
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
各	接頭詞,名詞接続,*,*,*,*,各,カク,カク
企業	名詞,一般,*,*,*,*,企業,キギョウ,キギョー
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
オファー	名詞,サ変接続,*,*,*,*,オファー,オファー,オファー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
殺到	名詞,サ変接続,*,*,*,*,殺到,サットウ,サットー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
化粧品	名詞,固有名詞,一般,*,*,*,化粧品,ケショウヒン,ケショーヒン
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
洗髪	名詞,サ変接続,*,*,*,*,洗髪,センパツ,センパツ
料	名詞,接尾,一般,*,*,*,料,リョウ,リョー
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
「	記号,括弧開,*,*,*,*,「,「,「
髪洗い	名詞,固有名詞,一般,*,*,*,髪洗い,カミアライ,カミアライ
粉	名詞,接尾,一般,*,*,*,粉,コ,コ
（	記号,括弧開,*,*,*,*,（,（,（
シャンプー	名詞,サ変接続,*,*,*,*,シャンプー,シャンプー,シャンプー
）	記号,括弧閉,*,*,*,*,）,）,）
」	記号,括弧閉,*,*,*,*,」,」,」
の	助詞,連体化,*,*,*,*,の,ノ,ノ
イメージガール	名詞,固有名詞,一般,*,*,*,イメージガール,イメージガール,イメージガール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
依頼	名詞,サ変接続,*,*,*,*,依頼,イライ,イライ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
、	記号,読点,*,*,*,*,、,、,、
商品	名詞,一般,*,*,*,*,商品,ショウヒン,ショーヒン
パッケージ	名詞,一般,*,*,*,*,パッケージ,パッケージ,パッケージ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
写真	名詞,一般,*,*,*,*,写真,シャシン,シャシン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
掲載	名詞,サ変接続,*,*,*,*,掲載,ケイサイ,ケイサイ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
、	記号,読点,*,*,*,*,、,、,、
たばこ	名詞,一般,*,*,*,*,たばこ,タバコ,タバコ
「	記号,括弧開,*,*,*,*,「,「,「
ゴールデンバット	名詞,固有名詞,一般,*,*,*,ゴールデンバット,ゴールデンバット,ゴールデンバット
」	記号,括弧閉,*,*,*,*,」,」,」
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
おまけ	名詞,サ変接続,*,*,*,*,おまけ,オマケ,オマケ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
、	記号,読点,*,*,*,*,、,、,、
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
シガレットカード	名詞,固有名詞,一般,*,*,*,シガレットカード,シガレットカード,シガレットカード
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
同封	名詞,サ変接続,*,*,*,*,同封,ドウフウ,ドーフー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
、	記号,読点,*,*,*,*,、,、,、
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ
も	助詞,係助詞,*,*,*,*,も,モ,モ
人気	名詞,一般,*,*,*,*,人気,ニンキ,ニンキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
呼ん	動詞,自立,*,*,五段・バ行,連用タ接続,呼ぶ,ヨン,ヨン
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ
。	記号,句点,*,*,*,*,。,。,。
ほか	名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
も	助詞,係助詞,*,*,*,*,も,モ,モ
様々	名詞,形容動詞語幹,*,*,*,*,様々,サマザマ,サマザマ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
商品	名詞,一般,*,*,*,*,商品,ショウヒン,ショーヒン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
広告モデル	名詞,固有名詞,一般,*,*,*,広告モデル,コウコクモデル,コーコクモデル
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ
、	記号,読点,*,*,*,*,、,、,、
「	記号,括弧開,*,*,*,*,「,「,「
洗い髪	名詞,一般,*,*,*,*,洗い髪,アライガミ,アライガミ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
」	記号,括弧閉,*,*,*,*,」,」,」
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
一世	名詞,一般,*,*,*,*,一世,イッセイ,イッセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
風靡	名詞,サ変接続,*,*,*,*,風靡,フウビ,フービ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
頭山満	名詞,固有名詞,人名,一般,*,*,頭山満,トウヤマミツル,トーヤマミツル
と	助詞,格助詞,一般,*,*,*,と,ト,ト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
その後	名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ
世間	名詞,一般,*,*,*,*,世間,セケン,セケン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
大人気	名詞,形容動詞語幹,*,*,*,*,大人気,ダイニンキ,ダイニンキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
男	名詞,一般,*,*,*,*,男,オトコ,オトコ
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
